question,domain,topic
Convert the following sentence to passive voice: 'The chef is preparing dinner.',Aptitude,Active and Passive Voice
Change to active voice: 'The letter was written by Anita.',Aptitude,Active and Passive Voice
Convert the following sentence into passive voice: 'The chef is cooking a delicious meal.',Aptitude,Active and Passive Voice
Change the following sentence to active voice: 'The letter was written by Rina.',Aptitude,Active and Passive Voice
Convert into passive voice: 'They are building a new bridge across the river.',Aptitude,Active and Passive Voice
Change the sentence to active voice: 'The movie was watched by millions of people.',Aptitude,Active and Passive Voice
Convert the sentence into passive voice: 'The teacher will explain the lesson tomorrow.',Aptitude,Active and Passive Voice
Convert the sentence into passive voice: 'The workers repaired the road last week.',Aptitude,Active and Passive Voice
Change the sentence into active voice: 'A new policy has been introduced by the government.',Aptitude,Active and Passive Voice
Convert the sentence into passive voice: 'She will complete the project by tomorrow.',Aptitude,Active and Passive Voice
Change the sentence into active voice: 'The cake was baked by my grandmother.',Aptitude,Active and Passive Voice
Convert the sentence into passive voice: 'The committee is reviewing the proposal.',Aptitude,Active and Passive Voice
"The average age of 5 members of a family is 25 years. If the age of the youngest member is excluded, the average becomes 28 years. Find the age of the youngest member.",Aptitude,Averages
Find the average of the first 20 natural numbers.,Aptitude,Averages
"The average marks of 30 students in a class is 60. If the marks of one student were wrongly recorded as 40 instead of 70, find the correct average.",Aptitude,Averages
The average weight of 8 people increases by 2 kg when a new person replaces one weighing 65 kg. Find the weight of the new person.,Aptitude,Averages
The average of 4 consecutive even numbers is 27. Find the largest of these numbers.,Aptitude,Averages
The average of five consecutive odd numbers is 61. Find the largest of these numbers.,Aptitude,Averages
"The average weight of 30 students in a class is 45 kg. If the weight of the teacher is included, the average increases by 1 kg. Find the teacher's weight.",Aptitude,Averages
"The average marks of 40 students in a class is 55. If the marks of one student were wrongly recorded as 45 instead of 85, find the correct average.",Aptitude,Averages
"The average age of a family of 5 members is 24 years. If the age of the youngest member is 8 years, find the average age of the family at the time of the youngest member's birth.",Aptitude,Averages
"The average of 10 numbers is 42. If one number is excluded, the average becomes 40. Find the excluded number.",Aptitude,Averages
"The average score of a cricketer in 12 innings is 48 runs. In the next innings, he scores 100 runs. Find his new average.",Aptitude,Averages
"A batsman has a certain average of runs for 16 innings. In the 17th innings, he scores 85 runs and thereby increases his average by 3. Find his new average.",Aptitude,Averages
"Pointing to a photograph, a man says, 'She is the daughter of my grandfather's only son.' How is the woman related to the man?",Aptitude,Blood Relations
A is the brother of B. B is the sister of C. C is the father of D. How is A related to D?,Aptitude,Blood Relations
"Introducing a boy, a woman says, 'His mother is the only daughter of my mother.' How is the woman related to the boy?",Aptitude,Blood Relations
P is the son of Q. Q and R are siblings. S is the mother of R. How is S related to P?,Aptitude,Blood Relations
"Pointing to a man, a woman said, 'His mother is the only daughter of my mother.' How is the woman related to the man?",Aptitude,Blood Relations
"A is the brother of B. C is the mother of A. D is the brother of E, and E is the daughter of B. How is D related to C?",Aptitude,Blood Relations
"Introducing a boy, a girl said, 'He is the son of my mother's only brother.' How is the boy related to the girl?",Aptitude,Blood Relations
P's father is the only son of Q. How is Q related to P?,Aptitude,Blood Relations
"If X is the son of Y, and Y is the daughter of Z, how is X related to Z?",Aptitude,Blood Relations
