question,domain,topic
What is a calling convention and how does it constrain the code generator?,Compiler Design,Code Generation
Explain linear scan register allocation and how it trades off against graph colouring.,Compiler Design,Code Generation
What is rematerialization in register allocation?,Compiler Design,Code Generation
How does a code generator make use of SIMD instructions?,Compiler Design,Code Generation
What is tail call optimization and which change to the generated code does it require?,Compiler Design,Code Generation
What is the difference between a two-address and a three-address target instruction set?,Compiler Design,Code Generation
What is a trampoline in code generated for nested functions?,Compiler Design,Code Generation
How are SSA names removed before registers are assigned?,Compiler Design,Code Generation
How do alignment requirements influence the layout of generated data?,Compiler Design,Code Generation
Why is peephole optimization across basic block boundaries harder than inside one block?,Compiler Design,Code Generation
How is exception handling supported by generated code and its associated tables?,Compiler Design,Code Generation
How does a just-in-time code generator differ from an ahead-of-time one?,Compiler Design,Code Generation
What is code bloat caused by inlining and how is it controlled?,Compiler Design,Code Generation
How is a loop unrolled and what are the benefits and costs?,Compiler Design,Code Generation
What is software pipelining?,Compiler Design,Code Generation
How does the generator emit position independent code?,Compiler Design,Code Generation
What is a spill slot and where does it reside in the activation record?,Compiler Design,Code Generation
How does the code generator treat volatile memory accesses during optimization?,Compiler Design,Code Generation
How does a strict aliasing assumption change the generated code?,Compiler Design,Code Generation
Explain how a DAG-based scheduler reorders instructions inside a block.,Compiler Design,Code Generation
How is division by a constant replaced with multiplication and shifts?,Compiler Design,Code Generation
Why is intermediate code converted to SSA form before register allocation?,Compiler Design,Code Generation
How does profile information change the layout of basic blocks in the final code?,Compiler Design,Code Generation
How does a compiler decide between emitting a call and inlining the callee body?,Compiler Design,Code Generation
Which target specific information must a retargetable code generator be parameterised with?,Compiler Design,Code Generation
What is packrat parsing and what does memoization achieve in it?,Compiler Design,Parsing
How does the ordered choice of a PEG parser change its parsing decisions?,Compiler Design,Parsing
What is a Pratt parser and how does it handle operator precedence while parsing?,Compiler Design,Parsing
Describe how the shunting-yard algorithm uses an operator stack.,Compiler Design,Parsing
How does a scannerless parser change what the parser consumes?,Compiler Design,Parsing
What is the effect of increasing the lookahead depth on parse table size?,Compiler Design,Parsing
Explain how a parser can recover from an error using the FOLLOW set of the current nonterminal.,Compiler Design,Parsing
What does it mean for a parser to run in linear time and which algorithms achieve it?,Compiler Design,Parsing
How would you implement a parser for a language with user-definable infix operators?,Compiler Design,Parsing
What is a chart parser and how does it store intermediate results?,Compiler Design,Parsing
Compare deterministic LR parsing with generalized LR parsing on ambiguous input.,Compiler Design,Parsing
How do parser combinators implement alternatives and failure?,Compiler Design,Parsing
What is a default reduction in a compressed LR table?,Compiler Design,Parsing
Describe two techniques used to compress LR parsing tables.,Compiler Design,Parsing
Why does merging LR(1) states into LALR states never introduce a shift-reduce conflict?,Compiler Design,Parsing
How can a parser be made resilient enough for an IDE that must parse incomplete code?,Compiler Design,Parsing
What is a synchronizing token set and how is it used during error recovery?,Compiler Design,Parsing
Compare a shift-reduce parser with a nondeterministic pushdown automaton.,Compiler Design,Parsing
How does a parser apply the most closely nested rule while parsing else clauses?,Compiler Design,Parsing
What are the practical differences between building a parser with Bison and with ANTLR?,Compiler Design,Parsing
