question,domain,topic
"In an examination, a candidate scored 385 marks out of 550. Calculate the percentage of marks obtained.",Aptitude,Percentages
The price of petrol rises by 25%. By what percent should a motorist reduce consumption so that expenditure on petrol remains unchanged?,Aptitude,Percentages
"A student secured 32% marks and failed by 18 marks, while another securing 45% got 27 marks more than the pass mark. Find the maximum marks.",Aptitude,Percentages
"If 40% of a number exceeds 25% of the same number by 60, determine the number.",Aptitude,Percentages
The population of a town increased by 10% in the first year and decreased by 10% in the second year. Find the net percentage change over the two years.,Aptitude,Percentages
Salary of an employee is first increased by 20% and later reduced by 20%. Work out the overall percentage change in his salary.,Aptitude,Percentages
Two candidates contested an election; the winner secured 58% of the valid votes and won by 3200 votes. How many valid votes were polled?,Aptitude,Percentages
"After spending 65% of his income on household expenses and 10% on travel, a man is left with Rs. 7500. Find his monthly income.",Aptitude,Percentages
"The value of a machine depreciates at 8% per annum. If its present value is Rs. 250000, what will it be worth after two years?",Aptitude,Percentages
"In a class of 60 students, 45% are girls. How many boys are there in the class?",Aptitude,Percentages
A number is increased by 20% and the result is then decreased by 25%. What is the net percentage change in the original number?,Aptitude,Percentages
"Out of 8000 applicants for a recruitment drive, 12.5% were rejected in the screening round. How many candidates cleared screening?",Aptitude,Percentages
"If A's income is 25% more than B's income, by what percent is B's income less than that of A?",Aptitude,Percentages
The cost of sugar rose from Rs. 40 per kg to Rs. 48 per kg. Find the percentage increase in price.,Aptitude,Percentages
A company's revenue grew from 8.4 crore to 10.5 crore in one financial year. Express the growth as a percentage.,Aptitude,Percentages
A trader buys 120 notebooks for Rs. 2400 and sells them at Rs. 25 each. Find his profit percent.,Aptitude,Profit and Loss
"By selling an article for Rs. 720, a shopkeeper loses 10%. At what price should he sell it to gain 15%?",Aptitude,Profit and Loss
A shopkeeper marks his goods 40% above cost price and allows a discount of 15%. Determine his net gain percent.,Aptitude,Profit and Loss
"If the cost price of 15 pens equals the selling price of 12 pens, calculate the profit percentage.",Aptitude,Profit and Loss
A dishonest grocer sells goods at cost price but uses a weight of 900 g for one kilogram. Find his gain percent.,Aptitude,Profit and Loss
"Two watches were sold at Rs. 3600 each, one at a gain of 20% and the other at a loss of 20%. Determine the overall result of the transaction.",Aptitude,Profit and Loss
"A mobile phone marked at Rs. 18000 is sold at a discount of 20%. If the cost price was Rs. 12000, find the profit percent.",Aptitude,Profit and Loss
A fruit seller purchases oranges at 5 for Rs. 20 and sells them at 4 for Rs. 20. What is his percentage profit?,Aptitude,Profit and Loss
The marked price of a jacket is Rs. 2500 and successive discounts of 10% and 5% are offered. Work out the final selling price.,Aptitude,Profit and Loss
"On selling a bicycle for Rs. 4800, a dealer earns a profit equal to one-fifth of the cost price. Find the cost price.",Aptitude,Profit and Loss
A retailer wants a profit of 25% after giving a discount of 20% on the labelled price. By what percent above cost should he label the goods?,Aptitude,Profit and Loss
An article costing Rs. 1500 was sold at a loss of 8%. Find the amount of loss incurred.,Aptitude,Profit and Loss
"A wholesaler sells a consignment to a retailer at 15% profit and the retailer sells it to a customer at 20% profit. If the customer pays Rs. 6900, what did the wholesaler pay?",Aptitude,Profit and Loss
The difference between the selling prices of an article at 12% profit and at 12% loss is Rs. 480. Determine its cost price.,Aptitude,Profit and Loss
"A man sold two plots for Rs. 900000 each, gaining 25% on one and losing 25% on the other. Find his net result.",Aptitude,Profit and Loss
Find the simple interest on Rs. 45000 at 7.5% per annum for 3 years.,Aptitude,Simple Interest
