question,domain,topic
What is intermediate code and why do compilers generate it?,Compiler Design,Code Generation
Define three-address code and write it for a = b * c + d.,Compiler Design,Code Generation
"What are quadruples, triples and indirect triples?",Compiler Design,Code Generation
Compare quadruples and triples with respect to instruction reordering.,Compiler Design,Code Generation
Translate the expression -(a + b) * (c + d) into three-address code.,Compiler Design,Code Generation
What is a temporary variable in three-address code and how are temporaries allocated?,Compiler Design,Code Generation
What is a basic block?,Compiler Design,Code Generation
State the rules used to partition three-address code into basic blocks.,Compiler Design,Code Generation
What is a leader in the construction of basic blocks?,Compiler Design,Code Generation
What is a flow graph and how is it built from basic blocks?,Compiler Design,Code Generation
What is the DAG representation of a basic block used for?,Compiler Design,Code Generation
How does a DAG help eliminate common subexpressions inside a block?,Compiler Design,Code Generation
What is the difference between local optimization and global optimization?,Compiler Design,Code Generation
List four typical peephole optimizations.,Compiler Design,Code Generation
What is redundant load and store elimination?,Compiler Design,Code Generation
Explain algebraic simplification and strength reduction with examples.,Compiler Design,Code Generation
What is constant folding and where in the compiler is it applied?,Compiler Design,Code Generation
What is dead code elimination and how is dead code identified within a block?,Compiler Design,Code Generation
What is register allocation and why does it dominate generated code quality?,Compiler Design,Code Generation
What is register spilling and when does it happen?,Compiler Design,Code Generation
Describe graph colouring register allocation at a high level.,Compiler Design,Code Generation
What is an interference graph and how is it built?,Compiler Design,Code Generation
What are the register descriptor and address descriptor in a simple code generator?,Compiler Design,Code Generation
What is the role of the getReg function in a simple code generator?,Compiler Design,Code Generation
What is instruction selection?,Compiler Design,Code Generation
How does tree pattern matching help perform instruction selection?,Compiler Design,Code Generation
Which cost model is used when choosing between alternative instruction sequences?,Compiler Design,Code Generation
What are addressing modes and how do they affect the size of generated code?,Compiler Design,Code Generation
Generate target machine code for the three-address code t1 = a + b; t2 = t1 * c.,Compiler Design,Code Generation
What is the difference between absolute machine code and relocatable machine code?,Compiler Design,Code Generation
What is an activation record and which fields does it contain?,Compiler Design,Code Generation
How does the code generator implement parameter passing for a function call?,Compiler Design,Code Generation
What are the roles of the stack pointer and the frame pointer in generated code?,Compiler Design,Code Generation
What is backpatching and how is it used while generating jumps?,Compiler Design,Code Generation
How are boolean expressions translated using short-circuit code?,Compiler Design,Code Generation
Write three-address code for the statement while (a < b) a = a + 1;,Compiler Design,Code Generation
Translate an if-else statement into three-address code with explicit labels.,Compiler Design,Code Generation
How is the array reference a[i][j] translated into three-address code?,Compiler Design,Code Generation
What is the difference between a label and an address in generated code?,Compiler Design,Code Generation
What is jump-to-jump elimination in peephole optimization?,Compiler Design,Code Generation
